srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,893,3,3.500000,1,2.830000,0.0438,4.950000,27,104.770000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,10404,4,4.000000,1,2.200000,0.0149,5.030000,26,170.740000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,21315,3,4.500000,1,2.200000,0.0245,4.920000,21,179.800000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,27348,2,4.000000,1,2.830000,0.0125,4.390000,34,602.770000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,-1,0,5,-1,0,5,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,0,5,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,29604,4,3.500000,1,2.640000,0.1241,4.930000,4,143.580000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,30184,4,4.500000,1,2.770000,0.1302,5.200000,7,195.320000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,44147,3,3.500000,1,2.200000,0.0356,4.810000,18,129.350000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,50984,2,0.000000,0,1.610000,NULL,4.140000,35,85.370000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,53341,4,4.000000,1,2.560000,0.1238,5.180000,3,150.050000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,6,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,56880,4,4.000000,1,2.830000,0.1028,5.150000,10,280.690000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,59267,3,0.000000,1,2.200000,NULL,5.080000,20,190.140000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,1,0,11,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,59526,3,3.500000,0,2.200000,0.0377,4.780000,19,100.890000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,-1,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,31,0,NULL,0
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,68914,2,3.000000,1,2.200000,0.0206,4.440000,13,100.890000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,11,0,0,NULL,NULL,NULL,NULL,0,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,11,1,114.29,1
1,2013-04-04 08:32:15,12,187,NULL,NULL,219,74474,3,4.500000,1,2.400000,0.1255,5.030000,2,210.840000,0,23246,1,0,4,0,1,1,NULL,NULL,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,0
